trialNumber,repeatNumber,rewardContingency,contrastLeft,contrastRight,correctResponse,choice,choiceCompleteTime,choiceStartTime,feedback,punishSoundOnsetTime,trialStartTime,preStimWaitTime,interactiveOnTime,feedbackTime,endTrialTime,environment,stimulusOnsetTime,goCueTime,rewardTime,rewardVolume
94,1,SymmetricReward,0.25,0,Left,Left,1120.80299684999,1120.57251096703,Rewarded,NaN,1117.01446324994,1117.01473974995,1120.55451724993,1121.02937574999,1127.81623140001,Neutral,1119.87073738463,1120.616,1121.06270035009,3.5
95,1,SymmetricReward,0,0.0625,Right,Left,1140.46969205001,1140.39981221873,Unrewarded,1140.7855,1127.82561079995,1127.82592099998,1129.28367459984,1140.74949929991,1149.67114244995,Neutral,1128.42300127817,1129.3315,NaN,NaN
96,1,SymmetricReward,0.125,0,Left,Left,1151.27111879992,1151.08344008494,Rewarded,NaN,1149.67850645003,1149.67877504998,1151.04827429994,1151.66861689999,1158.16932370001,Neutral,1150.27704025138,1151.098,1151.70020664838,3.5
97,1,SymmetricReward,0.25,0,Left,Right,1159.76991179993,1159.52065547928,Unrewarded,1160.117,1158.1771196,1158.17738370004,1159.59576009994,1160.07471259998,1170.63520134997,Neutral,1158.77601343964,1159.644,NaN,NaN
98,1,SymmetricReward,0,0.25,Right,Right,1183.5062229,1183.44727217965,Rewarded,NaN,1170.64281144994,1170.64308265003,1172.10966215003,1183.91035150003,1192.50559165003,Neutral,1171.24553843548,1172.153,1183.94170036326,3.5
99,1,SymmetricReward,0.25,0,Left,Right,1194.76995240001,1194.58947804011,Unrewarded,1195.1155,1192.51295615011,1192.51322145003,1194.19868435001,1195.07485414995,1203.24437790003,Neutral,1193.5251153788,1194.248,NaN,NaN
100,1,SymmetricReward,0,0.0625,Right,Left,1204.78728629998,1204.53876141552,Unrewarded,1205.069,1203.25172750012,1203.25200910005,1204.71777640004,1205.02322395006,1215.39665749995,Neutral,1203.85701531414,1204.7635,NaN,NaN
101,1,SymmetricReward,0,0,Left,Left,1224.05519044993,1223.98494717199,Rewarded,NaN,1215.40471039992,1215.40498649993,1216.66884755006,1224.4087063499,1231.26301099989,Neutral,1215.99906617263,1216.713,1224.44170036326,3.5
102,1,SymmetricReward,0,0.125,Right,Left,1232.58731149998,1232.4407535661,Unrewarded,1232.866,1231.27031069994,1231.27057469985,1232.49096205004,1232.82951760001,1241.47291919996,Neutral,1231.8655469601,1232.5395,NaN,NaN
103,1,SymmetricReward,0,0.125,Right,Right,1243.2058463,1243.15536643192,Rewarded,NaN,1241.48022619996,1241.48051819997,1242.85509059986,1243.43135119998,1251.96351499995,Neutral,1242.08354530457,1242.9015,1243.46470036326,3.5
104,1,SymmetricReward,0.25,0,Left,Left,1255.88753685006,1255.66710927524,Rewarded,NaN,1251.97095649992,1251.97121759993,1255.36287489999,1256.12893370003,1264.87293524994,Neutral,1254.59934708523,1255.4105,1256.16070036326,3.5
105,1,SymmetricReward,0,0.125,Right,Left,1266.3557107501,1266.20510764327,Unrewarded,1266.705,1264.88023154996,1264.88049624988,1266.22304525005,1266.67186390003,1275.3117523999,Neutral,1265.4865740668,1266.2835,NaN,NaN
106,1,SymmetricReward,0,0.125,Right,Right,1280.05690665008,1279.96864447091,Rewarded,NaN,1275.31933799991,1275.31960949989,1279.53541885014,1280.43106415006,1288.41068279999,Neutral,1278.83144595379,1279.585,1280.46270040281,3.5
107,1,SymmetricReward,0.125,0,Left,Left,1290.18798275001,1290.10693634395,Rewarded,NaN,1288.41810210003,1288.41837710002,1289.70395805,1290.45836615004,1299.2943212,Neutral,1289.02352442797,1289.7505,1290.49070036326,3.5
108,1,SymmetricReward,0.5,0,Left,Left,1300.92139685014,1300.84633720946,Rewarded,NaN,1299.30185019993,1299.30211239995,1300.64537435013,1301.24076055002,1308.60650244995,Neutral,1299.90418431847,1300.6955,1301.27170033038,3.5
109,1,SymmetricReward,0,0.5,Right,Left,1309.92155520013,1309.8505780967,Unrewarded,1310.245,1308.61623145,1308.61667404999,1309.87306820008,1310.21210770006,1319.1082182501,Neutral,1309.22052957564,1309.9225,NaN,NaN
110,2,SymmetricReward,0,0.5,Right,Right,1321.38846460008,1321.22826995421,Rewarded,NaN,1319.11507175001,1319.11534785002,1320.87597079994,1321.61313265003,1328.87894650002,Neutral,1320.10154294361,1320.9215,1321.64470036991,3.5
111,1,SymmetricReward,0,0.125,Right,Right,1332.37171164993,1332.12259581778,Rewarded,NaN,1328.88640690001,1328.88670859998,1330.23923259997,1332.73346464988,1340.88818699995,Neutral,1329.48930352944,1330.2855,1332.76470036326,3.5
112,1,SymmetricReward,0,0,Left,Right,1342.85637495003,1342.60791968647,Unrewarded,1343.1885,1340.89537049993,1340.89564509992,1342.35018229997,1343.14971070003,1352.94624175003,Neutral,1341.4960534305,1342.3925,NaN,NaN
113,1,SymmetricReward,0.25,0,Left,Right,1354.32205455005,1354.0723695429,Unrewarded,1354.627,1352.95362215,1352.95389175008,1354.22784905008,1354.59181959985,1364.62096650002,Neutral,1353.54906926268,1354.275,NaN,NaN
